layer,start_date,railway,capacity,:ID,surveillance-type,level,public_transport,STIF-zone,website,addr-street,recycling-clothes,lit,amenity,ref-FR-STIF-stop_id,comment,shelter,dpt,train,crossing,name,city,supervised,lat,maxspeed,bicycle_parking,man_made,recycling-cans,charge,source-wheelchair,description,reg,recycling-green_waste,osmId,highway,old_name,note,crossing_ref,street,loc-name,bus,recycling-paper,segregated,ref-FR-STIF,official_name,bench,button_operated,network,recycling-plastic,tactile_paving,wheelchair,barrier,fixme,route_ref,recycling-glass,recycling-glass_bottles,access,covered,ref-IDFM,district,intermittent,operator,route_ref-FR-RER_D,bicycle,lon,source,mapillary,addr-city,direction,opening_hours,type-RATP,fee,ref,foot,crossing-bollard,traffic_calming,recycling_type
,,,,292421479,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6200138,,,,,,,, Île-de-France,,292421479,,,,,Square Paul Lafargue,,,,,,,,,,,,,,,,,,,,,,,,,,2.4394387,,,,,,,,,,,,
,,,,292421481,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6216093,,,,,,,, Île-de-France,,292421481,,,,,Allee Gustave Cluseret,,,,,,,,,,,,,,,,,,,,,,,,,,2.4376707,,,,,,,,,,,,
,,,,292421483,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6216514,,,,,,,, Île-de-France,,292421483,,,,,Allee Gustave Cluseret,,,,,,,,,,,,,,,,,,,,,,,,,,2.4372961,,,,,,,,,,,,
,,,,292421485,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6199007,,,,,,,, Île-de-France,,292421485,,,,,Rue de l'Essonne,,,,,,,,,,,,,,,,,,,,,,,,,,2.4343994,,,,,,,,,,,,
,,,,292421487,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6196976,,,,,,,, Île-de-France,,292421487,,,,,Rue de l'Essonne,,,,,,,,,,,,,,,,,,,,,,,,,,2.4366440,,,,,,,,,,,,
,,,,292421490,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6196707,,,,,,,, Île-de-France,,292421490,,,,,Rue de l'Essonne,,,,,,,,,,,,,,,,,,,,,,,,,,2.4368822,,,,,,,,,,,,
,,,,292421493,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6194630,,,,,,,, Île-de-France,,292421493,,,,,Allée de la Butte Rouge,,,,,,,,,,,,,,,,,,,,,,,,,,2.4391980,,,,,,,,,,,,
,,,,292421495,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6193472,,,,,,,, Île-de-France,,292421495,,,,,Rue de l'Ecole,,,,,,,,,,,,,,,,,,,,,,,,,,2.4304631,,,,,,,,,,,,
,,,,292421497,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6198894,,,,,,,, Île-de-France,,292421497,,,,,Rue de l'Ecole,,,,,,,,,,,,,,,,,,,,,,,,,,2.4309470,,,,,,,,,,,,
,,,,292421499,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6197745,,,,,,,, Île-de-France,,292421499,,,,,Allée de la Solidarité,,,,,,,,,,,,,,,,,,,,,,,,,,2.4318892,,,,,,,,,,,,
,,,,292421501,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6196504,,,,,,,, Île-de-France,,292421501,,,,,Rue de l'Essonne,,,,,,,,,,,,,,,,,,,,,,,,,,2.4336722,,,,,,,,,,,,
