sidewalk,layer,lanes,amenity,tactile_paving,cycleway,note,:END_ID,tunnel,oneway,width,leaf_type,fixme,train,lcn_ref,area,bicycle_road,name,leaf_cycle,railway,capacity,maxspeed,bicycle_parking,description-covid19,landuse,cycleway-left,cycleway-right,surface,natural,level,leisure,wall,bridge,vehicle,bicycle,segregated,source,:TYPE,building,ref,foot,:START_ID,bench,osmId,highway,lit,public_transport,smoothness
,,,,,,,292422062,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092361,,26660951,,,,
,,,,,,,1797092363,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292422062,,26660951,,,,
,,,,,,,292422061,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092363,,26660951,,,,
,,,,,,,292421499,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292422061,,26660951,,,,
,,,,,,,1797092364,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292421499,,26660951,,,,
,,,,,,,292421497,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092364,,26660951,,,,
,,,,,,,292421495,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292421497,,26660951,,,,
,,,,,,,292421512,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292421495,,26660951,,,,
,,,,,,,1797092349,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292421512,,26660951,,,,
,,,,,,,1797092351,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092349,,26660951,,,,
,,,,,,,1797092353,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092351,,26660951,,,,
,,,,,,,292421514,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092353,,26660951,,,,
,,,,,,,1797092369,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292421514,,26660951,,,,
,,,,,,,1797092371,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092369,,26660951,,,,
,,,,,,,1797092373,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092371,,26660951,,,,
,,,,,,,1797092377,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092373,,26660951,,,,
,,,,,,,1797092375,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092377,,26660951,,,,
,,,,,,,1797092379,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092375,,26660951,,,,
,,,,,,,2286848196,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092379,,26660951,,,,
,,,,,,,292421516,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,2286848196,,26660951,,,,
,,,,,,,1797092381,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292421516,,26660951,,,,
,,,,,,,292421462,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092381,,26660951,,,,
,,,,,,,2228425620,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292422057,,26660973,,,,
,,,,,,,292422058,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,2228425620,,26660973,,,,
,,,,,,,1802214291,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292422058,,26660973,,,,
,,,,,,,1802214292,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1802214291,,26660973,,,,
,,,,,,,2228425639,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1802214292,,26660973,,,,
,,,,,,,1802214294,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,2228425639,,26660973,,,,
,,,,,,,2228425612,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1802214294,,26660973,,,,
